Strike,Moneyness,Bid,Midpoint,Ask,Last,Change,%Chg,Volume,Open Int,Vol/OI,IV,Type,Last Trade,,,As of Date,2021-Nov-19
"4,650.00",1.02%,66.9,67.25,67.6,73.11,-1.44,-1.93%,5,0,0,11.82%,Call,11/19/2021,,,SPX,4697.96
"4,655.00",0.91%,63,63.3,63.6,64.7,-5.9,-8.36%,12,0,0,11.62%,Call,11/19/2021,,,,
"4,660.00",0.81%,59.1,59.4,59.7,71.7,13,22.15%,32,0,0,11.41%,Call,11/19/2021,,,Option Type,European Call
"4,665.00",0.70%,55.3,55.6,55.9,56.2,3.5,6.64%,6,0,0,11.21%,Call,11/19/2021,,,Maturity,12/1/2021
"4,670.00",0.60%,51.6,51.9,52.2,50.96,-2.84,-5.28%,33,0,0,11.02%,Call,11/19/2021,,,,
"4,675.00",0.49%,48,48.25,48.5,47.67,-5.01,-9.51%,25,0,0,10.82%,Call,11/19/2021,,,,
"4,680.00",0.38%,44.5,44.75,45,45,-1.4,-3.02%,277,0,0,10.71%,Call,11/19/2021,,,,
"4,685.00",0.28%,41,41.3,41.6,41.8,1,2.45%,55,0,0,10.44%,Call,11/19/2021,,,,
"4,690.00",0.17%,37.9,38.1,38.3,37.83,-6.95,-15.52%,36,0,0,10.28%,Call,11/19/2021,,,,
"4,695.00",0.06%,34.7,34.9,35.1,40.43,-0.67,-1.63%,11,0,0,10.10%,Call,11/19/2021,,,,
"4,700.00",-0.04%,31.7,31.9,32.1,31.83,-4.89,-13.32%,59,0,0,9.91%,Call,11/19/2021,,,,
"4,705.00",-0.15%,28.8,29,29.2,30.15,-5.48,-15.38%,32,0,0,9.77%,Call,11/19/2021,,,,
"4,710.00",-0.26%,26,26.2,26.4,30.7,-1.98,-6.06%,60,0,0,9.59%,Call,11/19/2021,,,,
"4,715.00",-0.36%,23.5,23.65,23.8,24.3,-4.3,-15.03%,10,0,0,9.45%,Call,11/19/2021,,,,
"4,720.00",-0.47%,21,21.2,21.4,21.43,-6.22,-22.50%,64,0,0,9.30%,Call,11/19/2021,,,,
"4,725.00",-0.58%,18.8,18.95,19.1,23.24,-0.21,-0.90%,7,0,0,9.17%,Call,11/19/2021,,,,
"4,730.00",-0.68%,16.7,16.85,17,17.18,-3.92,-18.58%,119,0,0,9.05%,Call,11/19/2021,,,,
"4,735.00",-0.79%,14.7,14.9,15.1,15.3,-1.6,-9.47%,58,0,0,8.93%,Call,11/19/2021,,,,
"4,740.00",-0.89%,12.9,13.1,13.3,16.78,-0.02,-0.12%,21,0,0,8.81%,Call,11/19/2021,,,,
"4,745.00",-1.00%,11.3,11.5,11.7,16,0,unch,7,0,0,8.71%,Call,11/18/2021,,,,
"4,650.00",-1.02%,19.8,20,20.2,20.1,0.32,1.62%,69,0,0,11.51%,Put,11/19/2021,,,,
"4,655.00",-0.91%,20.8,21.05,21.3,21.18,0.68,3.32%,18,0,0,11.33%,Put,11/19/2021,,,,
"4,660.00",-0.81%,21.9,22.15,22.4,20.9,-0.7,-3.24%,21,0,0,11.08%,Put,11/19/2021,,,,
"4,665.00",-0.70%,23.1,23.35,23.6,22.75,-3.35,-12.84%,10,0,0,10.89%,Put,11/19/2021,,,,
"4,670.00",-0.60%,24.4,24.65,24.9,26.53,1.83,7.41%,202,0,0,10.70%,Put,11/19/2021,,,,
"4,675.00",-0.49%,25.8,26,26.2,26,-0.54,-2.03%,17,0,0,10.51%,Put,11/19/2021,,,,
"4,680.00",-0.38%,27.2,27.45,27.7,27.6,0.46,1.69%,17,0,0,10.35%,Put,11/19/2021,,,,
"4,685.00",-0.28%,28.8,29.05,29.3,29.8,0.58,1.98%,18,0,0,10.13%,Put,11/19/2021,,,,
"4,690.00",-0.17%,30.5,30.75,31,31.45,-2.65,-7.77%,41,0,0,9.95%,Put,11/19/2021,,,,
"4,695.00",-0.06%,32.4,32.65,32.9,34.3,-2,-5.51%,8,0,0,9.79%,Put,11/19/2021,,,,
"4,700.00",0.04%,34.3,34.55,34.8,35.2,0.73,2.12%,120,0,0,9.60%,Put,11/19/2021,,,,
"4,705.00",0.15%,36.4,36.65,36.9,37.7,0.01,0.03%,13,0,0,9.43%,Put,11/19/2021,,,,
"4,710.00",0.26%,38.6,38.9,39.2,40.2,0.52,1.31%,388,0,0,9.27%,Put,11/19/2021,,,,
"4,715.00",0.36%,41,41.3,41.6,41.8,1.6,3.98%,2,0,0,9.11%,Put,11/19/2021,,,,
"4,720.00",0.47%,43.6,43.9,44.2,37.29,-5.11,-12.05%,22,0,0,8.97%,Put,11/19/2021,,,,
"4,725.00",0.58%,46.3,46.6,46.9,46.8,-0.39,-0.83%,14,0,0,8.88%,Put,11/19/2021,,,,
"4,730.00",0.68%,49.2,49.5,49.8,46,-3.2,-6.50%,38,0,0,8.68%,Put,11/19/2021,,,,
"4,735.00",0.79%,52.3,52.6,52.9,52.2,-24.71,-32.13%,2,0,0,8.56%,Put,11/16/2021,,,,
"4,740.00",0.89%,55.5,55.8,56.1,50.17,-13.24,-20.88%,13,0,0,8.43%,Put,11/19/2021,,,,
"4,745.00",1.00%,58.9,59.2,59.5,59.52,-1.88,-3.06%,10,0,0,8.31%,Put,11/18/2021,,,,
Downloaded from Barchart.com as of 11-21-2021 03:16pm CST,,,,,,,,,,,,,,,,,
